"date","tests_rate","tests_rate_lower","tests_rate_upper","tests_rate_daily","tests_rate_daily_lower","tests_rate_daily_upper","cases_rate","cases_rate_lower","cases_rate_upper","cases_rate_daily","cases_rate_daily_lower","cases_rate_daily_upper","mort","icu","hosp","cases","cases_week_avg","positives","tests","people_vaccinated","people_fully_vaccinated","total_vaccinations","total_distributed"
2020-03-16,NA,NA,NA,0.0232558139534884,0,0.0697674418604651,NA,NA,NA,0.0232558139534884,0,0.0697674418604651,0,NA,NA,1,NA,1,43,NA,NA,NA,NA
2020-03-17,NA,NA,NA,0.0563380281690141,0.0140845070422535,0.112676056338028,NA,NA,NA,0.0563380281690141,0.0140845070422535,0.112676056338028,1,NA,NA,4,NA,4,71,NA,NA,NA,NA
2020-03-18,NA,NA,NA,0.107692307692308,0.0461538461538462,0.184615384615385,NA,NA,NA,0.09375,0.03125,0.171875,0,NA,NA,6,1.85714285714286,7,65,NA,NA,NA,NA
2020-03-19,0.0609318996415771,0.03584229390681,0.0896057347670251,0.0459770114942529,0.0114942528735632,0.0919540229885057,0.0609318996415771,0.03584229390681,0.0896057347670251,0.0459770114942529,0.0114942528735632,0.0919540229885057,0,NA,NA,4,2.42857142857143,4,87,NA,NA,NA,NA
2020-03-20,0.0851063829787234,0.0585106382978723,0.11436170212766,0.141509433962264,0.0754716981132075,0.207547169811321,0.0826666666666667,0.056,0.112,0.141509433962264,0.0754716981132075,0.207547169811321,0,NA,NA,15,4.42857142857143,15,106,NA,NA,NA,NA
2020-03-21,0.0894854586129754,0.0648769574944072,0.116331096196868,0.115384615384615,0.0512820512820513,0.192307692307692,0.0874439461883408,0.062780269058296,0.114349775784753,0.115384615384615,0.0512820512820513,0.192307692307692,2,NA,NA,9,5.57142857142857,9,78,NA,NA,NA,NA
2020-03-22,0.102941176470588,0.0756302521008403,0.130252100840336,0.264705882352941,0.117647058823529,0.411764705882353,0.101052631578947,0.0757894736842105,0.128421052631579,0.264705882352941,0.117647058823529,0.411764705882353,1,NA,NA,9,6.85714285714286,9,34,NA,NA,NA,NA
2020-03-23,0.143872113676732,0.115452930728242,0.174067495559503,0.263565891472868,0.186046511627907,0.341085271317829,0.142348754448399,0.113879003558719,0.172597864768683,0.2578125,0.1875,0.3359375,2,NA,NA,33,11.4285714285714,34,129,NA,NA,NA,NA
2020-03-24,0.170868347338936,0.144257703081232,0.198879551820728,0.213636363636364,0.159090909090909,0.268181818181818,0.169705469845722,0.143057503506311,0.197755960729313,0.206422018348624,0.155963302752294,0.261467889908257,1,NA,NA,45,17.2857142857143,47,220,NA,NA,NA,NA
2020-03-25,0.175027870680045,0.150501672240803,0.20066889632107,0.169354838709677,0.125,0.217741935483871,0.174107142857143,0.149553571428571,0.199776785714286,0.165991902834008,0.121457489878543,0.214574898785425,0,NA,NA,41,22.2857142857143,42,248,NA,NA,NA,NA
2020-03-26,0.180382377389859,0.158769742310889,0.201995012468828,0.167088607594937,0.131645569620253,0.205063291139241,0.178333333333333,0.156666666666667,0.2,0.158567774936061,0.122762148337596,0.194373401534527,3,NA,NA,62,30.5714285714286,66,395,NA,NA,NA,NA
2020-03-27,0.159457714654616,0.141381536475145,0.17817947062621,0.100877192982456,0.0745614035087719,0.129385964912281,0.157281553398058,0.13915857605178,0.175404530744337,0.0969162995594714,0.0704845814977974,0.125550660792952,2,NA,NA,44,34.7142857142857,46,456,NA,NA,NA,NA
2020-03-28,0.154025670945158,0.137106184364061,0.171528588098016,0.109311740890688,0.0728744939271255,0.149797570850202,0.151550614394383,0.13458162668227,0.168519602106495,0.102040816326531,0.0653061224489796,0.142857142857143,3,NA,NA,25,37,27,247,NA,NA,NA,NA
2020-03-29,0.152580828133863,0.136131593874078,0.169597277368123,0.158536585365854,0.0853658536585366,0.24390243902439,0.149686966420034,0.13318155947638,0.166761525327262,0.158536585365854,0.0853658536585366,0.24390243902439,3,NA,NA,13,37.5714285714286,13,82,NA,NA,NA,NA
2020-03-30,0.141810344827586,0.127586206896552,0.156034482758621,0.137026239067055,0.112244897959184,0.163265306122449,0.138840830449827,0.125,0.153114186851211,0.133235724743777,0.108345534407028,0.159590043923865,3,NA,NA,91,45.8571428571429,94,686,NA,NA,NA,NA
2020-03-31,0.123204022988506,0.110991379310345,0.135416666666667,0.0946142649199418,0.0727802037845706,0.116448326055313,0.120043258832012,0.108147080028839,0.132299927901947,0.0839469808541973,0.0633284241531664,0.106038291605302,1,NA,NA,57,47.5714285714286,65,687,NA,NA,NA,NA
2020-04-01,0.108930602957907,0.0986916951080774,0.119453924914676,0.083248730964467,0.065989847715736,0.100507614213198,0.104345340194397,0.0943396226415094,0.114636935391652,0.0747950819672131,0.0584016393442623,0.0911885245901639,2,NA,NA,73,52.1428571428571,82,985,NA,NA,NA,NA
2020-04-02,0.0924306769922558,0.0834374219335498,0.101423932050962,0.0620067643742954,0.0462232243517475,0.0777903043968433,0.0881024096385542,0.0793172690763052,0.0968875502008032,0.0545454545454545,0.0397727272727273,0.0704545454545455,0,NA,NA,48,50.1428571428571,55,887,NA,NA,NA,NA
